fid;ID;CD_GEOCODM;NM_MUNICIP;CODIGO;V8Mo;V8d;V8;V1;V2;V3;V4;V5;V6;V7;I_V1;CL_V1;I_V2;CL_V2;I_V3;CL_V3;I_V4;CL_V4;I_V5;CL_V5;I_V6;CL_V6;I_V7;CL_V7;I_V8;CL_V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001;DM2001_2009;HM2001_2009;LTM2001_2009;CMD20012009;CMH20012009;CMLT20012009
26;384;5202353;ARENÓPOLIS;5202353;3999;1253;3,19;37,51;77,81;43,1;20,31;56,4;4,49;7,98;0,049632026;0;0,031818687;0;0,193335046;0;0,002261255;0;0,042629336;0;0,03513379;0;0,063107078;2;0,19073779;0;104,4302965;35,12913263;2,848664471;Medio;MuitoAlto;Medio;326,443;92,965;25,2521;MuitoAlto;Hiperendemico;Hiperendemico
27;385;5202502;ARUANÃ;5202502;5095;1384;3,68;48,19;83,24;37,86;20,72;71,58;7,57;4,99;0,418258577;0;-0,049116399;0;0,060729577;0;0,414467646;1;1,029396118;1;-0,061608264;0;0,097749377;0;0,089313241;0;7,344738289;30,11301451;2,406168252;Baixo;MuitoAlto;Medio;44,6372;95,37;4,0367;Baixo;Hiperendemico;Medio
28;386;5202601;AURILÂNDIA;5202601;4235;1327;3,19;22,46;95,86;27,73;17,95;40,29;6,71;3,84;0,277592383;0;-0,268668992;0;-0,038872454;0;-0,006834874;0;0,322364824;0;-0,009048477;0;0,52758405;2;0,23196406;0;53,57618199;64,33152449;19,52942264;Baixo;Hiperendem;MuitoAlto;56,3236;77,975;3,6782;Baixo;Hiperendemico;Medio
29;387;5202809;AVELINÓPOLIS;5202809;2507;752;3,33;35,24;45,21;35,9;18,11;56,25;6,2;3,32;-0,050957009;0;-0,220625535;0;-0,099436256;4;-0,009238101;0;-0,347973478;4;0,025080384;0;0,372629318;0;0,010557362;0;14,01798261;24,9951446;3,820853384;Baixo;MuitoAlto;Medio;58,6754;42,373;2,5048;Baixo;Hiperendemico;Medio
30;388;5203104;BALIZA;5203104;2270;696;3,26;62,21;66,24;63,36;22,92;59,5;10,9;11,64;-0,866024254;0;0,049507277;0;-0,004625487;0;0,077859919;0;0,23095343;0;0,15640537;0;0,110131343;0;0,016290189;0;61,10209395;188,3310538;57,40630055;Baixo;Hiperendem;Hiperendem;209,3535;127,741;415,9731;Alto;Hiperendemico;Hiperendemico
31;389;5203203;BARRO ALTO;5203203;6251;1731;3,61;33,62;84,29;28,65;24,71;38,43;4,75;5,37;-0,021922796;3;-0,126254471;0;-0,194242869;0;1,072553692;1;-0,333965683;0;0,113367837;0;0,075041391;0;0,14501449;1;22,35115;135,2179331;2,108903026;Baixo;Hiperendem;Medio;204,0658;150,511;9,279;Alto;Hiperendemico;Alto
32;390;5203302;BELA VISTA DE GOIÁS;5203302;19210;5741;3,35;53,74;79,06;35,26;15,13;25,63;2,02;1,95;1,571521835;1;0,111002348;1;0,007044024;0;0,421790488;2;1,755211202;2;0,66591136;2;0,537231799;0;-0,023620995;0;127,7551283;23,72288555;0,759661425;Medio;MuitoAlto;Baixo;72,3582;37,129;1,4555;Baixo;MuitoAlto;Medio
33;391;5203401;BOM JARDIM DE GOIÁS;5203401;8068;2421;3,33;37,3;88,31;41,39;17,08;55,71;6,28;7,35;0,010749799;0;0,042767271;0;0,111153896;0;-0,023427933;0;0,234230331;0;-0,000975407;0;-0,008717846;0;0,070214603;0;76,82743034;126,9787577;62,81225359;Baixo;Hiperendem;Hiperendem;108,4527;91,757;65,6031;Medio;Hiperendemico;Hiperendemico
34;392;5203500;BOM JESUS DE GOIÁS;5203500;16257;4783;3,4;41,27;87,16;13,13;17,46;42,65;3,73;9,35;-0,04806189;0;-0,386495844;0;0,568895;0;0,004417939;0;0,11208886;0;0,15673181;0;-0,041574174;0;0,042702988;0;14,21291568;32,90057111;44,64508159;Baixo;MuitoAlto;Hiperendem;130,0887;44,254;8,1072;Medio;Hiperendemico;Alto
35;393;5203559;BONFINÓPOLIS;5203559;5353;1492;3,59;21,38;93,36;17,02;17,54;38,25;4,46;10,46;-0,207377484;0;0,0682335;0;0,498922381;0;0,031065929;0;0,330862554;0;0,270069582;2;-0,022649286;0;0,042523472;0;92,70219421;154,5309215;2,2211474;Baixo;Hiperendem;Medio;57,7538;113,549;2,7052;Baixo;Hiperendemico;Medio
