ID;CD_GEOCODM;NM_MUNICIP;V8Mo;V8d;V1;V2;V3;V4;V5;V6;V7;V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001
411;5204805;CAMPO ALEGRE DE GOIÁS;4528;1335;40.52;90.71;38.13;11.65;30.58;2.9;5.09;3.39;8.114879753;17.68812555;2.597930854;Baixo;Baixo;Baixo
412;5204854;CAMPO LIMPO DE GOIÁS;0;0;0;0;0;0;0;0;0;0;7.698304882;17.04772152;2.495303058;Baixo;Baixo;Baixo
413;5204904;CAMPOS BELOS;17047;4264;16.49;80.14;31.14;20.86;77.66;7.08;12.57;4;53.5074793;57.10006303;0.852625536;Baixo;Baixo;Baixo
414;5204953;CAMPOS VERDES;8057;2238;47.36;86.64;59.96;21.92;65.02;13.81;20.06;3.6;1345.59279;88.00255857;1.858105363;Alto;Medio;Baixo
415;5205000;CARMO DO RIO VERDE;7941;2417;32.11;91.97;36.99;17.85;48.5;5.5;9.56;3.29;66.82173761;11.92067901;169.0846563;Baixo;Baixo;Alto
416;5205059;CASTELÂNDIA;3882;1083;30.66;20.68;29.27;22.45;62.33;6.22;9.33;3.58;32.96730071;35.1123896;2.847165627;Baixo;Baixo;Baixo
417;5205109;CATALÃO;64347;18754;12.99;49.74;13.49;9.76;31.87;2.25;5.99;3.43;43.20170622;26.8600026;1.729573109;Baixo;Baixo;Baixo
418;5205208;CATURAÍ;4330;1235;37.57;97.49;31.82;19.13;49.08;3.07;2.27;3.51;52.15868656;63.16368661;19.14029584;Baixo;Baixo;Medio
419;5205307;CAVALCANTE;9150;2214;52.71;29.99;63.01;44.02;79.02;14.6;22.54;4.13;4.066155799;36.38693706;28.80685676;Baixo;Baixo;Medio
420;5205406;CERES;22209;6312;17.93;83.52;20.56;11.98;38.5;3.92;8.03;3.52;89.09944373;223.1494585;53.12432692;Baixo;Alto;Alto
421;5205455;CEZARINA;6514;1834;27.1;32.88;32.99;14.24;60.75;5.21;6.27;3.55;5.66159087;114.7280592;1.954290718;Baixo;Medio;Baixo
422;5205471;CHAPADÃO DO CÉU;3778;1026;26.51;65.89;22.61;9.74;49.12;1.83;2.53;3.68;103.031795;19.06173728;20.19445906;Baixo;Baixo;Medio
423;5205497;CIDADE OCIDENTAL;40377;10301;18.08;40.34;19.1;10.78;57.43;4.61;9.98;3.92;48.54319612;23.15933044;0.37324363;Baixo;Baixo;Baixo
424;5205513;COCALZINHO DE GOIÁS;14626;3803;53.77;83.51;47.33;19.86;58.65;9.19;15.83;3.85;28.57618805;24.14278253;12.83612038;Baixo;Baixo;Baixo
425;5205521;COLINAS DO SUL;3702;1015;35.37;72.71;43.15;22.38;76.38;16.89;18.13;3.65;9.736477741;20.00058287;57.94241142;Baixo;Baixo;Alto
426;5205703;CÓRREGO DO OURO;2973;938;40.3;83.58;47.76;16.64;25.32;6.35;5.65;3.17;75.19336793;60.97774702;3.474895321;Baixo;Baixo;Baixo
427;5205802;CORUMBÁ DE GOIÁS;9679;2582;52.17;69.83;56.31;19.87;52.3;5.35;7.55;3.75;3.958814935;94.78084992;1.444962439;Baixo;Medio;Baixo
428;5205901;CORUMBAÍBA;6655;2021;35.82;90.75;25.38;11.24;39.24;6.1;4.8;3.29;5.501571276;90.24677983;1.908792533;Baixo;Medio;Baixo
429;5206206;CRISTALINA;34116;8749;30.31;87.26;31.28;16.54;56.99;5.38;7.58;3.9;26.49346318;27.2143453;24.81355656;Baixo;Baixo;Medio
430;5206305;CRISTIANÓPOLIS;2924;903;24.03;94.68;21.04;11.1;27.1;1.24;8.08;3.24;105.3868212;41.66567022;3.445395338;Baixo;Baixo;Baixo
431;5206404;CRIXÁS;14673;4140;44.95;82.25;32.97;18.48;58.77;11.66;11.3;3.54;58.6090268;172.0191291;140.2082807;Baixo;Alto;Alto
432;5206503;CROMÍNIA;3660;1136;23.24;84.86;27.46;16.21;31.35;4.41;3.79;3.22;9.855993806;70.14047545;3.0008467;Baixo;Medio;Baixo
433;5206602;CUMARI;3105;992;27.12;41.13;27.42;14.58;25.81;7.04;10.18;3.13;190.2478704;22.21046762;3.343219676;Medio;Baixo;Baixo
434;5206701;DAMIANÓPOLIS;3303;856;29.91;56.31;70.91;28.06;60.38;11.95;6.89;3.86;11.06734599;57.58669528;3.258661483;Baixo;Baixo;Baixo
435;5206800;DAMOLÂNDIA;2573;780;30.13;93.08;26.15;17.11;42.75;3.06;7.44;3.3;49.64966984;65.74865217;3.78433473;Baixo;Medio;Baixo
436;5206909;DAVINÓPOLIS;2109;665;39.85;90.08;43.01;18.87;87.41;4.83;4.36;3.17;16.51715925;27.34475467;4.235564835;Baixo;Baixo;Baixo
